Repositorio;Nome;Estrelas;Anos;nº Releases;média CBO;desvio padão CBO;média LCOM;desvio padão LCOM;DIT máximo;LOC Total
dianping/cat;cat;18372;11.3;3;5.527484143763213;6.047450270141387;23.03276955602537;104.17849875424855;10.0;97994.0
yudaocode/SpringBoot-Labs;SpringBoot-Labs;18260;5.53;0;4.29665071770335;2.9640421482854356;1.443609022556391;6.74276391181279;4.0;17732.0
openjdk/jdk;jdk;18131;5.52;0;;;;;;
forezp/SpringCloudLearning;SpringCloudLearning;17706;6.96;0;4.5524475524475525;2.3583754088201427;0.5454545454545454;1.8538460219523922;2.0;1123.0
facebook/fresco;fresco;17033;9.06;50;6.788710907704043;6.965342608353318;26.202898550724637;115.9803372067899;14.0;66024.0
Tencent/tinker;tinker;17024;7.55;56;4.730314960629921;6.98959479039169;27.12007874015748;102.69208691498302;53.0;39545.0
LMAX-Exchange/disruptor;disruptor;16947;11.5;14;4.478048780487805;4.809112904107132;25.882926829268293;224.4252951945056;8.0;13157.0
nostra13/Android-Universal-Image-Loader;Android-Universal-Image-Loader;16806;12.32;0;4.864285714285714;4.859762948783341;28.84285714285714;99.46185711320778;6.0;7434.0
openzipkin/zipkin;zipkin;16663;11.8;86;;;;;;
shuzheng/zheng;zheng;16634;7.47;0;4.530451866404715;5.712629993804207;340.8565815324165;1784.5872980117435;2.0;41742.0
Tencent/APIJSON;APIJSON;16486;7.34;96;5.567164179104478;9.034302590759479;875.0;3820.39389232803;4.0;12428.0
williamfiset/Algorithms;Algorithms;16359;7.02;0;2.611231101511879;1.789108878582146;16.20086393088553;38.46628547239934;2.0;32494.0
antlr/antlr4;antlr4;16205;14.14;30;5.7712121212121215;7.2164010410527775;48.343939393939394;192.53104010175343;9.0;40886.0
doocs/source-code-hunter;source-code-hunter;16063;4.4;0;;;;;;
infinilabs/analysis-ik;analysis-ik;16000;12.27;207;4.909090909090909;3.458530396987578;14.727272727272727;27.41518350296743;2.0;2174.0
JeffLi1993/springboot-learning-example;springboot-learning-example;15975;7.13;0;4.614035087719298;3.8514266482485455;2.8508771929824563;6.006184613920669;3.0;1641.0
justauth/JustAuth;JustAuth;15888;5.14;45;5.382857142857143;5.903678548850985;13.531428571428572;20.317420694405808;4.0;5366.0
